ID,Name,Screen Size (inches),Memory,SSD,GPU,Brand,Operating System,CPU,Color,Resolution,Series,FullName,,,,,
116,"MSI GF Series - 17.3"" 144 Hz IPS - Intel Core i7 12th Gen 12700H (2.30GHz) - NVIDIA GeForce RTX 3070 Ti Laptop GPU - 16 GB DDR4 - 1 TB PCIe SSD - Windows 11 Home 64-bit - Gaming Laptop (Katana GF76 12UGS-035 )",17.3,16,1024,NVIDIA GeForce RTX 3070 Ti,MSI,Windows11Home,Intel Core i7 12th Gen,Black,1920x1080,GF Series,"MSI GF Series - 17.3"" 144 Hz IPS - Intel Core i7 12th Gen 12700H (2.30GHz) - NVIDIA GeForce RTX 3070 Ti Laptop GPU - 16 GB DDR4 - 1 TB PCIe SSD - Windows 11 Home 64-bit - Gaming Laptop (Katana GF76 12UGS-035 )",,,,,
117,Notebook Lenovo ThinkBook 15 Gen 4 Laptop,15.6,16,512,,,,,,,,"Notebook Lenovo ThinkBook 15 Gen 4 Laptop,   Iris Xe Graphics, 512GB SSD",,,,,
118,HP Folio 1040 G3 Laptop Intel Core i7 6th Gen 6600U (2.60 GHz),14,8,512,,HP,Windows10Pro,Intel Core i7 6th Gen,Gray,1920x1080,,"HP Folio 1040 G3 Laptop Intel Core i7 6th Gen 6600U (2.60 GHz), 8 GB, 512 GB SSD, 14"", FHD, Windows 10 PRO 64-bit, CAM A Grade",,,,,
119,ASUS Vivobook 15 Slim Laptop,15.6,16,512,Intel Iris Xe Graphics,ASUS,Windows11Home,Intel Core i5 12th Gen,Quiet Blue,1920x1080,VivoBook,"ASUS Vivobook 15 Slim Laptop, 15.6” FHD Display, Intel Core i5-12500H CPU, Intel Iris Xe graphics, 16GB RAM, 512GB SSD, Windows 11 Home, Quiet Blue, F1502ZA-NB54",,,,,
120,"MSI Raider series - 17.0"" 240 Hz IPS - Intel Core i9 13th Gen 13980HX (2.20GHz) - NVIDIA GeForce RTX 4090 Laptop GPU - 32 GB DDR5 - 2 TB NVMe SSD - Windows 11 Pro 64-bit - Gaming Laptop (Raider GE78 HX 13VI-079US )",17,32,2048,NVIDIA GeForce RTX 4090,MSI,Windows11Pro,Intel Core i9 13th Gen,Dark Gray,2560x1600,GE Series,"MSI Raider series - 17.0"" 240 Hz IPS - Intel Core i9 13th Gen 13980HX (2.20GHz) - NVIDIA GeForce RTX 4090 Laptop GPU - 32 GB DDR5 - 2 TB NVMe SSD - Windows 11 Pro 64-bit - Gaming Laptop (Raider GE78 HX 13VI-079US )",,,,,
121,"Lenovo Grade A Laptop ThinkPad Intel Core i5 7th Gen 7300U (2.60GHz) 16GB Memory 256 GB SSD Intel HD Graphics 620 14.0"" Windows 10 Pro 64-bit T470",14,16,256,Intel HD Graphics 620,Lenovo,Windows10Pro,Intel Core i5 7th Gen,,1920x1080,ThinkPad,"Lenovo Grade A Laptop ThinkPad Intel Core i5 7th Gen 7300U (2.60GHz) 16GB Memory 256 GB SSD Intel HD Graphics 620 14.0"" Windows 10 Pro 64-bit T470",,,,,
122,"HP ProBook 640 G4 14"" Laptop",14,16,256,Intel UHD Graphics 620,HP,Windows10Pro,Intel Core i5 8th Gen,Silver,1920x1080,ProBook,"HP ProBook 640 G4 14"" Laptop, Intel i5 8350U 1.7GHz, 16GB DDR4 RAM, 256GB NVMe M.2 SSD, 1080p Full HD, Webcam, Windows 10 Pro",,,,,
123,"ASUS Notebooks ProArt StudioBook Intel Core i9 13th Gen 13980HX (2.20GHz) 32GB DDR5 Memory 1TB M.2 NVMe™ PCIe® 4.0 Performance SSD SSD NVIDIA GeForce RTX 4060 Laptop GPU 16.0"" Touchscreen Windows 11 Home H7604JV-DS96T",16,32,1024,NVIDIA GeForce RTX 4060,ASUS,Windows11Home,Intel Core i9 13th Gen,Mineral Black,3200x2000,ProArt StudioBook,"ASUS Notebooks ProArt StudioBook Intel Core i9 13th Gen 13980HX (2.20GHz) 32GB DDR5 Memory 1TB M.2 NVMe™ PCIe® 4.0 Performance SSD SSD NVIDIA GeForce RTX 4060 Laptop GPU 16.0"" Touchscreen Windows 11 Home H7604JV-DS96T",,,,,
124,JOHNKANG  Windows 11 Pro Laptop,15.6,12,512,,,Windows11Pro,Intel Celeron,Gray,1920x1080,,"JOHNKANG  Windows 11 Pro Laptop, 15.6"" FHD(1920 x 1080) IPS Display,Intel N5095 CPU Notebook 12GB RAM/512GB SSD,Full Size Backlit Keyboard with Fingerprint Reader",,,,,
125,"MSI Prestige 16 16"" QHD+ 165Hz MiniLED Ultra Thin Professional Laptop Intel® Core™ i7-13700H RTX 4060 32GB LPDDR5 2TB NVMe SSD Win 11 Pro",16,32,2048,NVIDIA GeForce RTX 4060,MSI,Windows11Pro,Intel Core i7 13th Gen,Urban Silver,2560x1600,,"MSI Prestige 16 16"" QHD+ 165Hz MiniLED Ultra Thin Professional Laptop Intel® Core™ i7-13700H RTX 4060 32GB LPDDR5 2TB NVMe SSD Win 11 Pro, A13VF-039US",,,,,
126,"GIGABYTE AORUS 17H - 17.3"" Thin Bezel FHD 1920x1080 360Hz Display - NVIDIA GeForce RTX 4080 Laptop GPU 12GB GDDR6 - Intel Core i7-13700H - 16GB DDR5 RAM - 1TB SSD - Win11 Home AD - Gaming Laptop (AORUS 17H BXF-74US554SH)",17.3,16,1024,NVIDIA GeForce RTX 4080,Aorus,Windows11Home,Intel Core i7 13th Gen,Black,1920x1080,,"GIGABYTE AORUS 17H - 17.3"" Thin Bezel FHD 1920x1080 360Hz Display - NVIDIA GeForce RTX 4080 Laptop GPU 12GB GDDR6 - Intel Core i7-13700H - 16GB DDR5 RAM - 1TB SSD - Win11 Home AD - Gaming Laptop (AORUS 17H BXF-74US554SH)",,,,,
127,BMAX S13A Windows 10 Notebook 13.3 inch Intel N3350 Laptop  8GB LPDDR4 128GB SSD 1920*1080 IPS Intel Laptops,13.3,8,128,Intel HD Graphics 500,bmax,Windows10Home🙋‍♀️MicrosoftWindows11ProUpgrade‍👉CheckABS/HelixcomputerswithWindows11,Intel Celeron,Aluminum Black,1920x1080,s13a,BMAX S13A Windows 10 Notebook 13.3 inch Intel N3350 Laptop  8GB LPDDR4 128GB SSD 1920*1080 IPS Intel Laptops,,,,,
128,"MSI GF Series - 15.6"" 144 Hz IPS - Intel Core i5 12th Gen 12450H (2.00GHz) - NVIDIA GeForce RTX 2050 Laptop GPU - 8 GB DDR4 - 512 GB NVMe SSD - Windows 11 Home 64-bit - Gaming Laptop (Thin GF63 12UCX-484US )",15.6,8,512,NVIDIA GeForce RTX 2050,MSI,Windows11Home,Intel Core i5 12th Gen,Black,1920x1080,GF Series,"MSI GF Series - 15.6"" 144 Hz IPS - Intel Core i5 12th Gen 12450H (2.00GHz) - NVIDIA GeForce RTX 2050 Laptop GPU - 8 GB DDR4 - 512 GB NVMe SSD - Windows 11 Home 64-bit - Gaming Laptop (Thin GF63 12UCX-484US )",,,,,
129,RATEYUSO Windows 11 Pro Laptop,15.6,12,512,Intel UHD Graphics,,Windows11Pro,Intel Celeron,,1920x1080,,"RATEYUSO Windows 11 Pro Laptop, 15.6"" FHD(1920 x 1080) IPS Display,Intel N5095 CPU Notebook  Computer, 12GB RAM DDR4, 512GB SSD,Full Size Backlit Keyboard with Fingerprint Reader,3.3 lbs",,,,,
130,Lenovo ThinkPad X13s Snapdragon Laptop,13.3,16,,,Lenovo,,,Black,1920x1200,,"Lenovo ThinkPad X13s Snapdragon Laptop, 13.3"" IPS Touch  LED Backlight, Qualcomm Snapdragon 8cx Gen 3 SC8280XP, Qualcomm Adreno, 16GB, 512GB, Win 11 Pro Arm, One YR Onsite Warranty",,,,,
131,"MSI Laptop Creator Z17 Intel Core i9 12th Gen 12900H (2.50GHz) 32GB Memory 2 TB NVMe SSD NVIDIA GeForce RTX 3080 Laptop GPU 17.0"" Touchscreen Windows 11 Pro 64-bit Creator Z17 A12UHT-048",17,32,2048,NVIDIA GeForce RTX 3080,MSI,Windows11Pro,Intel Core i9 12th Gen,Lunar Gray,2560x1600,,"MSI Laptop Creator Z17 Intel Core i9 12th Gen 12900H (2.50GHz) 32GB Memory 2 TB NVMe SSD NVIDIA GeForce RTX 3080 Laptop GPU 17.0"" Touchscreen Windows 11 Pro 64-bit Creator Z17 A12UHT-048",,,,,
132,"MSI Prestige 16 16"" QHD+ 165Hz MiniLED Ultra Thin Professional Laptop Intel® Core™ i7-13700H RTX 4050 32GB LPDDR5 1TB NVMe SSD Win 11 Pro",16,32,1024,NVIDIA GeForce RTX 4050,MSI,Windows11Pro,Intel Core i7 13th Gen,Urban Silver,2560x1600,,"MSI Prestige 16 16"" QHD+ 165Hz MiniLED Ultra Thin Professional Laptop Intel® Core™ i7-13700H RTX 4050 32GB LPDDR5 1TB NVMe SSD Win 11 Pro, A13VE-040US",,,,,
133,"Lenovo Laptop Slim Pro 9i Intel Core i9 13th Gen 13905H (2.60GHz) 32GB Memory 1 TB NVMe SSD NVIDIA GeForce RTX 4060 Laptop GPU 16.0"" Touchscreen Windows 11 Home 64-bit 83C00004US",16,32,1024,NVIDIA GeForce RTX 4060,Lenovo,Windows11Home,Intel Core i9 13th Gen,Storm Grey,3200x2000,Slim Pro 9i,"Lenovo Laptop Slim Pro 9i Intel Core i9 13th Gen 13905H (2.60GHz) 32GB Memory 1 TB NVMe SSD NVIDIA GeForce RTX 4060 Laptop GPU 16.0"" Touchscreen Windows 11 Home 64-bit 83C00004US",,,,,
134,"Lenovo IdeaPad 5 14"" Laptop - 11th Gen Intel Core i5-1135G7 - 1080p Notebook 16GB RAM 512GB SSD 82FE00MEUS",14,16,512,Intel Iris Xe Graphics,Lenovo,Windows10Home🙋‍♀️MicrosoftWindows11ProUpgrade‍👉CheckABS/HelixcomputerswithWindows11,Intel Core i5 11th Gen,Gray,1920x1080,IdeaPad,"Lenovo IdeaPad 5 14"" Laptop - 11th Gen Intel Core i5-1135G7 - 1080p Notebook 16GB RAM 512GB SSD 82FE00MEUS",,,,,
135,Colorful Gaming Laptop,15.6,16,512,NVIDIA GeForce RTX 3050,Colorful,Windows11Home,Intel Core i5 12th Gen,Grey,1920x1080,X15 XS 2022,"Colorful Gaming Laptop, 15.6"" 144Hz, Intel 12th Gen Core i5 12500H, NVIDIA GeForce RTX 3050 Laptop, 16GB DDR4 Dual Channels Expand to 64GB Memory, 512GB SSD, Thunderbolt 4 Interface, Windows 11 Home",,,,,
136,Hasee Elegance X4-2020S1 (14'',14,8,512,Intel Iris Graphics 540,Hasee,Windows10Home🙋‍♀️MicrosoftWindows11ProUpgrade‍👉CheckABS/HelixcomputerswithWindows11,Intel Core i7,Aluminum Blue,1920x1080,X4,"Hasee Elegance X4-2020S1 (14'', i7, Aluminum), Display Sinking Laptop Computer, Intel i7-6660U 3.4GHz, 8G DDR4 RAM, 512G M.2 SSD, 14'' FHD 72% NTSC IPS Display, Backlit Keyboard, Win 10, Dusty Blue",,,,,
137,"Lenovo Legion 5 15ARH7H - 15.6"" 165 Hz IPS - AMD Ryzen 7 6000 Series 6800H (3.20GHz) - NVIDIA GeForce RTX 3060 Laptop GPU - 16 GB DDR5 - 512 GB SSD - - Gaming Laptop (82RD006EUS )",15.6,16,512,NVIDIA GeForce RTX 3060,Lenovo,No,AMD Ryzen 7 6000 Series,Storm Grey,2560x1440,Legion 5 15ARH7H,"Lenovo Legion 5 15ARH7H - 15.6"" 165 Hz IPS - AMD Ryzen 7 6000 Series 6800H (3.20GHz) - NVIDIA GeForce RTX 3060 Laptop GPU - 16 GB DDR5 - 512 GB SSD - - Gaming Laptop (82RD006EUS )",,,,,
138,ASUS VivoBook Pro 16 OLED Laptop,16,16,1024,NVIDIA GeForce RTX 4060,ASUS,Windows11Home,Intel Core i9 13th Gen,Quiet Blue,3200x2000,ViewBook Pro 16,"ASUS VivoBook Pro 16 OLED Laptop, 16” OLED Display, Intel Core i9-13900H CPU, NVIDIA® GeForce® RTX™ 4060 GPU, 16GB RAM, 1TB SSD, Windows 11 Home, Quiet Blue, K6602VV-ES94",,,,,
139,RATEYUSO Windows 11 Pro Gaming Laptop,15.6,16,512,,,Windows11Pro,,,1920x1080,,"RATEYUSO Windows 11 Pro Gaming Laptop, 15.6"" FHD(1920 x 1080) IPS Display,AMD Ryzen 5 5600U CPU Notebook Computer 16GB DDR4 RAM/512GB SSD,Full Size Backlit Keyboard with Fingerprint Reader",,,,,
140,RATEYUSO Windows 11 Pro Laptop,15.6,12,512,Intel UHD Graphics,,Windows11Pro,Intel Celeron,,1920x1080,,"RATEYUSO Windows 11 Pro Laptop, 15.6"" FHD(1920 x 1080) IPS Display,Intel N5095 CPU Notebook  Computer, 12GB RAM DDR4, 512GB SSD,Full Size Backlit Keyboard with Fingerprint Reader,3.3 lbs",,,,,
141,"MSI Laptop Creator Z16 Intel Core i7 11th Gen 11800H (2.30GHz) 16GB Memory 512 GB NVMe SSD NVIDIA GeForce RTX 3060 Laptop GPU 16.0"" Touchscreen Windows 10 Pro 64-bit Creator Z16 A11UET-046",16,16,512,NVIDIA GeForce RTX 3060,MSI,Windows10Pro(FreeupgradetoWin11),Intel Core i7 11th Gen,Lunar Gray,2560x1600,,"MSI Laptop Creator Z16 Intel Core i7 11th Gen 11800H (2.30GHz) 16GB Memory 512 GB NVMe SSD NVIDIA GeForce RTX 3060 Laptop GPU 16.0"" Touchscreen Windows 10 Pro 64-bit Creator Z16 A11UET-046",,,,,
142,ASUS ZenBook Pro Duo 15 OLED UX582 Laptop,15.6,32,1024,NVIDIA GeForce RTX 3060,ASUS,Windows11Pro,Intel Core i9 12th Gen,Celestial Blue (Aluminum),1920x1080,ZenBook Pro Duo 15 OLED,"ASUS ZenBook Pro Duo 15 OLED UX582 Laptop, 15.6"" OLED FHD Touch Display, Intel Core i9-12900H, 32GB, 1TB, GeForce RTX 3060 Laptop GPU, ScreenPad Plus, Windows 11 Pro, Celestial Blue, UX582ZM-XS96T",,,,,
143,"GIGABYTE AORUS 15 XE4 - 15.6"" Thin Bezel 165Hz QHD 2560x1440 IPS-level Display - Intel Core i7-12700H - NVIDIA GeForce RTX 3070 Ti Laptop GPU 8GB GDDR6 - 16GB DDR4 RAM - 1TB SSD - Win11 Home - Gaming Laptop (AORUS 15 XE4-73USB14SH)",15.6,16,1024,NVIDIA GeForce RTX 3070 Ti,Aorus,Windows11Home,Intel Core i7 12th Gen,Black,2560x1440,,"GIGABYTE AORUS 15 XE4 - 15.6"" Thin Bezel 165Hz QHD 2560x1440 IPS-level Display - Intel Core i7-12700H - NVIDIA GeForce RTX 3070 Ti Laptop GPU 8GB GDDR6 - 16GB DDR4 RAM - 1TB SSD - Win11 Home - Gaming Laptop (AORUS 15 XE4-73USB14SH)",,,,,
144,"MSI Intel Core i7 13th Gen 1360P (2.20GHz) 32GB Memory 2 TB PCIe SSD NVIDIA GeForce RTX 4060 Laptop GPU 16"" Touchscreen 2560 x 1600 Convertible 2-in-1 Laptop Windows 11 Pro 64-bit Summit E16Flip A13VFT-060US",16,32,2048,NVIDIA GeForce RTX 4060,MSI,Windows11Pro,Intel Core i7 13th Gen,Ink Black,2560x1600,,"MSI Intel Core i7 13th Gen 1360P (2.20GHz) 32GB Memory 2 TB PCIe SSD NVIDIA GeForce RTX 4060 Laptop GPU 16"" Touchscreen 2560 x 1600 Convertible 2-in-1 Laptop Windows 11 Pro 64-bit Summit E16Flip A13VFT-060US",,,,,
145,2023 ASUS Vivobook Pro 16X OLED Laptop,16,16,1024,NVIDIA GeForce RTX 4060,ASUS,Windows11Home,Intel Core i9 13th Gen,0°Black,3200x2000,Vivobook Pro 16X 3D OLED,"2023 ASUS Vivobook Pro 16X OLED Laptop, 16” 16:10 OLED Display,Intel Core i9-13980HX CPU, NVIDIA® GeForce® RTX™ 4060 GPU, 16GB RAM, 1TB SSD, Windows11 Home, Earl Grey,K6604JV-ES94",,,,,
146,"MSI Laptop Prestige 14 Intel Core i7 12th Gen 1260P (2.10GHz) 16GB Memory 512 GB NVMe SSD NVIDIA GeForce RTX 3050 Laptop GPU 14.0"" Windows 11 Pro 64-bit Prestige 14 A12UC-006",14,16,512,NVIDIA GeForce RTX 3050,MSI,Windows11Pro,Intel Core i7 12th Gen,Carbon Gray,1920x1080,,"MSI Laptop Prestige 14 Intel Core i7 12th Gen 1260P (2.10GHz) 16GB Memory 512 GB NVMe SSD NVIDIA GeForce RTX 3050 Laptop GPU 14.0"" Windows 11 Pro 64-bit Prestige 14 A12UC-006",,,,,
147,"MSI Laptop Intel Core i7 13th Gen 13620H (2.40GHz) 64GB Memory 1 TB PCIe SSD NVIDIA GeForce RTX 4060 Laptop GPU 16.0"" Windows 11 Pro 64-bit Creator M16 B13VF-1011US",16,64,1024,NVIDIA GeForce RTX 4060,MSI,Windows11Pro,Intel Core i7 13th Gen,Black,2560x1600,,"MSI Laptop Intel Core i7 13th Gen 13620H (2.40GHz) 64GB Memory 1 TB PCIe SSD NVIDIA GeForce RTX 4060 Laptop GPU 16.0"" Windows 11 Pro 64-bit Creator M16 B13VF-1011US",,,,,
148,"JOHNKANG Laptop High-Performance 15.6"" FHD Laptop",15.6,16,512,,,Windows11Pro,Intel Celeron,Silver,,,"JOHNKANG Laptop High-Performance 15.6"" FHD Laptop, 11th Inte Core i7, WiFi-6, Backlit Keyboard, USB-C, HDTV, M.2 interface solid state +mechanical, 16GB RAM, 512GB PCIe SSD, Win 11 pro,  silver",,,,,
149,"MSI - 17.3"" 144 Hz - Intel Core i7 12th Gen 12650H (2.30GHz) - NVIDIA GeForce RTX 4070 Laptop GPU - 16 GB DDR5 - 1 TB PCIe SSD - Windows 11 Home 64-bit - Gaming Laptop (Katana 17 B12VGK-217CA )",17.3,16,1024,NVIDIA GeForce RTX 4070,MSI,Windows11Home,Intel Core i7 12th Gen,Black,1920x1080,,"MSI - 17.3"" 144 Hz - Intel Core i7 12th Gen 12650H (2.30GHz) - NVIDIA GeForce RTX 4070 Laptop GPU - 16 GB DDR5 - 1 TB PCIe SSD - Windows 11 Home 64-bit - Gaming Laptop (Katana 17 B12VGK-217CA )",,,,,
150,"Lenovo LOQ 16IRH8 - 16.0"" 144 Hz IPS - Intel Core i7 13th Gen 13620H (2.40GHz) - NVIDIA GeForce RTX 4050 Laptop GPU - 16 GB DDR5 - 512 GB PCIe SSD - Windows 11 Home 64-bit - Gaming Laptop (82XW001WUS )",16,16,512,NVIDIA GeForce RTX 4050,Lenovo,Windows11Home,Intel Core i7 13th Gen,Storm Grey,1920x1200,LOQ 16IRH8,"Lenovo LOQ 16IRH8 - 16.0"" 144 Hz IPS - Intel Core i7 13th Gen 13620H (2.40GHz) - NVIDIA GeForce RTX 4050 Laptop GPU - 16 GB DDR5 - 512 GB PCIe SSD - Windows 11 Home 64-bit - Gaming Laptop (82XW001WUS )",,,,,
151,"MSI GE Series - 17.3"" 360 Hz IPS - Intel Core i7 12th Gen 12800HX (2.00GHz) - NVIDIA GeForce RTX 3080 Ti Laptop GPU - 16 GB DDR5 - 1 TB PCIe SSD - Windows 11 Home 64-bit - Gaming Laptop (Raider GE77HX 12UHS-074 )",17.3,16,1024,NVIDIA GeForce RTX 3080 Ti,MSI,Windows11Home,Intel Core i7 12th Gen,Dark Gray,1920x1080,GE Series,"MSI GE Series - 17.3"" 360 Hz IPS - Intel Core i7 12th Gen 12800HX (2.00GHz) - NVIDIA GeForce RTX 3080 Ti Laptop GPU - 16 GB DDR5 - 1 TB PCIe SSD - Windows 11 Home 64-bit - Gaming Laptop (Raider GE77HX 12UHS-074 )",,,,,
152,CHUWI HeroBook Pro 14.1'' Laptop Computer,14.1,8,256,Intel UHD Graphics 600,CHUWI,Windows10,,Grey,,,"CHUWI HeroBook Pro 14.1'' Laptop Computer, 8GB RAM 256GB SSD, Windows 10 Laptop, Intel Celeron N4020 Processor, 1920x1080 FHD Display, Ultra Slim Notebook PC, WiFi, BT4.2 (Support Windows 11)",,,,,
153,ASUS TUF Gaming F15 Gaming Laptop,15.6,8,512,NVIDIA GeForce RTX 2050,ASUS,Windows11Home,Intel Core i5 11th Gen,Graphite Black,1920x1080,TUF Gaming F15,"ASUS TUF Gaming F15 Gaming Laptop, 15.6"" 144Hz FHD Display, Intel Core i5-11400H Processor, GeForce RTX 2050, 8GB DDR4 RAM, 512GB PCIe SSD Gen 3, Wi-Fi 6, Windows 11, FX506HF-ES51",,,,,
154,2023 ASUS Vivobook 16X OLED Laptop,16,16,1024,NVIDIA GeForce RTX 4050,ASUS,Windows11Home,Intel Core i9 13th Gen,Indie Black,3200x2000,Vivobook 16X OLED,"2023 ASUS Vivobook 16X OLED Laptop, 16"" 3.2K 120Hz Display, Intel Core i9-13900H CPU, NVIDIA GeForce RTX 4050 GPU, 16GB RAM, 1TB SSD, Windows 11 Home, Indie black, K3605VU-ES94",,,,,
155,Hasee T8 (16'',16,16,1024,NVIDIA GeForce RTX 3060,Hasee,Windows11Home,Intel Core i9 12th Gen,Black,2560x1600(2.5K),T8,"Hasee T8 (16'', i9-12900H, RTX3060), Gaming Laptop, i9-12900H 5.0GHz, 16G DDR4 RAM, 1T NVMe PCIe4.0 SSD, RTX3060 6G GDDR6, 16'' 2.5K 165Hz IPS Display, RGB KB, WiFi 6, BT 5.2, Win 11, Obsidian Black",,,,,
156,"Lenovo ThinkPad X1 Extreme Gen 3 15.6"" FHD (Intel 6-Core i7-10750H",15.6,64,2048,NVIDIA GeForce GTX 1650 Ti,Lenovo,Windows10Pro,Intel Core i7 10th Gen,Black,1920x1080,ThinkPad,"Lenovo ThinkPad X1 Extreme Gen 3 15.6"" FHD (Intel 6-Core i7-10750H, 64GB RAM, 2TB PCIe SSD, GTX 1650 Ti) Mobile Workstation Laptop, 2 x Thunderbolt 3, Backlit, Fingerprint, Windows 10 Pro",,,,,
157,"HP Probook 445 G7 14.0"" FHD (1920 x 1080) Grade A Business Laptop",14,16,512,,,Windows10Pro,AMD Ryzen 5,Silver,1920x1080,,"HP Probook 445 G7 14.0"" FHD (1920 x 1080) Grade A Business Laptop, AMD Ryzen 5 4500U Professor, 2.3Ghz up to 4.0GHz, 16GB RAM, 512GB SSD, Wi-Fi, Bluetooth, HDMI, Webcam, Windows 10 Pro 64 bit",,,,,
158,"Lenovo ThinkPad T480 - Intel Core i5-8350U 1.7GHz - 256GB SSD - 16GB RAM - WiFi - Bluetooth - 14"" FHD (1920x1080) Display - Webcam - HDMI - Windows 10 Pro - AC Adapter Included",14,16,256,Intel HD Graphics 620,Lenovo,Windows10Pro,Intel Core i5 8th Gen,Black,1920x1080,ThinkPad,"Lenovo ThinkPad T480 - Intel Core i5-8350U 1.7GHz - 256GB SSD - 16GB RAM - WiFi - Bluetooth - 14"" FHD (1920x1080) Display - Webcam - HDMI - Windows 10 Pro - AC Adapter Included",,,,,
159,Lenovo ThinkPad T480s Touchscreen Laptop,14,24,512,,,Windows10Pro,,Black,,,"Lenovo ThinkPad T480s Touchscreen Laptop, 14"" IPS FHD (1920x1080) Matte Display, Intel Core i7-8650U 4.20 GHz, 24GB DDR4 RAM, 512GB SSD, Backlit Keyboard, Windows 10 Pro",,,,,
160,Lenovo ThinkPad T580 15.6'' FHD Business Laptop Computer,15.6,16,256,,,Windows10Pro,Intel Core i5 8th Gen,Black,1920x1080,,"Lenovo ThinkPad T580 15.6'' FHD Business Laptop Computer, Intel Core i5-8350U Processor, 16GB RAM, 256GB SSD, Backlit Keyboard, HDMI, CAM, Bluetooth, Windows 10 Pro",,,,,
161,Lenovo ThinkPad T480s FHD (1920x1080) 14.0''Business Laptop,14,24,512,Intel UHD Graphics,,Windows10Pro,Intel Core i7 8th Gen,Black,1920x1080,,"Lenovo ThinkPad T480s FHD (1920x1080) 14.0''Business Laptop, Intel Core i7-8650 Processor, up to 3.7GHz, 24GB DDR4 RAM, 512GB SSD, Backlit Keyboard, Wi-Fi, Fingerprint, Bluetooth, Windows 10 Pro 64bit",,,,,
162,"HP EliteBook 830 G6 13.3"" FHD Grade A Business Laptop",13.3,8,512,,,Windows10Pro,Intel Core i7 8th Gen,Silver,1920x1080,,"HP EliteBook 830 G6 13.3"" FHD Grade A Business Laptop, Intel Core i7-8665U Processor, 1.9GHz Base Frequency, 8GB DDR4 RAM, 512GB SSD, Wi-Fi, Bluetooth, Camera, Education, Home, Windows 10 Pro 64 bit",,,,,
163,"MSI - 15.6"" 144 Hz IPS - Intel Core i9 13th Gen 13900H (2.60GHz) - NVIDIA GeForce RTX 4070 Laptop GPU - 32 GB DDR5 - 1 TB PCIe SSD - Windows 11 Home 64-bit - Gaming Laptop (Katana 15 B13VGK-1007US )",15.6,32,1024,NVIDIA GeForce RTX 4070,MSI,Windows11Home,Intel Core i9 13th Gen,Black,1920x1080,,"MSI - 15.6"" 144 Hz IPS - Intel Core i9 13th Gen 13900H (2.60GHz) - NVIDIA GeForce RTX 4070 Laptop GPU - 32 GB DDR5 - 1 TB PCIe SSD - Windows 11 Home 64-bit - Gaming Laptop (Katana 15 B13VGK-1007US )",,,,,
164,"Razer Blade 18 - 18.0"" QHD+ 240 Hz - Intel Core i9 13th Gen 13950HX (2.20GHz) - NVIDIA GeForce RTX 4080 Laptop GPU - 32 GB DDR5 5600MHz - 1 TB SSD - Windows 11 Home - Gaming Laptop (RZ09-0484TEH3-R3U1 )",18,32,1024,NVIDIA GeForce RTX 4080,Razer,Windows11Home,Intel Core i9 13th Gen,Black,2560x1600,Blade 18,"Razer Blade 18 - 18.0"" QHD+ 240 Hz - Intel Core i9 13th Gen 13950HX (2.20GHz) - NVIDIA GeForce RTX 4080 Laptop GPU - 32 GB DDR5 5600MHz - 1 TB SSD - Windows 11 Home - Gaming Laptop (RZ09-0484TEH3-R3U1 )",,,,,
165,JUSTTHINK Slim Laptop,15.6,,,,,,,,,,"JUSTTHINK Slim Laptop, 15.6"" FHD Display, Intel Celeron N5095 Processor, 16GB DDR4 RAM, 512GB ROM  Laptop Computers, Windows 11, Backlit Keyboard, 2.4GHZ WiFi, Dark grey, No touch screen function",,,,,
166,Lenovo IdeaPad 3i Laptop for Business & Student,14,8,512,Intel UHD Graphics,,Windows11Home,Intel Core i3 11th Gen,Gray,,,"Lenovo IdeaPad 3i Laptop for Business & Student, 14"" FHD Display, 11th Gen Intel Core i3-1115G4, 8GB RAM, 512GB SSD, HDMI, WiFi 6, Webcam, SD Card Reader, Mytrix HDMI Cable, Win 11",,,,,
167,"New Dell Inspiron Laptop 15.6"" Full HD Touch Screen Intel core i5-1135G7 32GB DDR4 RAM 1TB NVMe SSD Windows 11 Pro Black",15.6,32,1024,Intel UHD Graphics,,Windows11Pro,Intel Core i5 11th Gen,Black,,,"New Dell Inspiron Laptop 15.6"" Full HD Touch Screen Intel core i5-1135G7 32GB DDR4 RAM 1TB NVMe SSD Windows 11 Pro Black",,,,,
168,"Acer Predator Helios 16 - 16.0"" 250 Hz Mini LED - Intel Core i9 13th Gen 13900HX (2.20GHz) - NVIDIA GeForce RTX 4080 Laptop GPU - 32 GB DDR5 - 2 TB PCIe SSD - Windows 11 Home 64-bit - Gaming Laptop (PH16-71-94FB )",16,32,2048,NVIDIA GeForce RTX 4080,Acer,Windows11Home,Intel Core i9 13th Gen,Abyssal Black,2560x1600,Predator Helios 16,"Acer Predator Helios 16 - 16.0"" 250 Hz Mini LED - Intel Core i9 13th Gen 13900HX (2.20GHz) - NVIDIA GeForce RTX 4080 Laptop GPU - 32 GB DDR5 - 2 TB PCIe SSD - Windows 11 Home 64-bit - Gaming Laptop (PH16-71-94FB )",,,,,
